,heart,sleep,step
2018-06-10 6.25時,81.7,2.0,0.0
2018-06-10 6.5時,75.3,2.0,0.0
2018-06-10 6.75時,72.3,2.0,0.0
2018-06-10 7.0時,73.7,2.0,0.0
2018-06-10 7.25時,71.3,2.0,0.0
2018-06-10 7.5時,71.3,2.5,0.0
2018-06-10 7.75時,88.0,3.0,92.7
2018-06-10 8.75時,77.7,3.0,53.3
2018-06-10 22.75時,77.3,2.0,0.0
2018-06-10 23.0時,74.3,2.0,0.0
2018-06-10 23.25時,73.7,2.0,0.0
2018-06-10 23.5時,75.3,2.0,0.0
2018-06-10 23.75時,69.5,2.0,0.0
2018-06-11 0.0時,71.0,1.0,0.0
2018-06-11 0.25時,68.7,1.7,0.0
2018-06-11 0.5時,69.0,2.0,0.0
2018-06-11 0.75時,70.3,2.0,0.0
2018-06-11 1.0時,67.0,2.0,0.0
2018-06-11 1.25時,70.7,2.0,0.0
2018-06-11 1.5時,65.0,2.0,0.0
2018-06-11 1.75時,61.3,1.0,0.0
2018-06-11 2.0時,61.7,1.0,0.0
2018-06-11 2.25時,61.0,1.7,0.0
2018-06-11 2.5時,57.3,2.3,0.0
2018-06-11 2.75時,71.0,2.3,0.0
2018-06-11 3.0時,72.7,2.0,0.0
2018-06-11 3.25時,63.7,2.0,0.0
2018-06-11 3.5時,59.3,1.0,0.0
2018-06-11 3.75時,60.3,1.3,0.0
2018-06-11 4.0時,67.7,2.0,0.0
2018-06-11 4.25時,60.7,2.0,0.0
2018-06-11 4.5時,60.3,2.0,0.0
2018-06-11 4.75時,67.7,2.0,0.0
2018-06-11 5.0時,58.0,2.0,0.0
2018-06-11 5.25時,71.0,2.0,0.0
2018-06-11 5.5時,91.7,2.3,0.0
2018-06-11 5.75時,71.3,2.3,0.0
2018-06-11 6.0時,62.0,3.0,81.0
2018-06-11 6.25時,78.5,3.0,122.0
2018-06-11 6.5時,74.0,3.0,103.5
2018-06-11 6.75時,75.0,3.0,42.0
2018-06-11 7.0時,99.7,3.0,423.3
2018-06-11 7.25時,89.0,3.0,318.0
2018-06-11 7.5時,95.3,3.0,347.5
2018-06-11 7.75時,85.0,3.0,458.0
2018-06-11 8.0時,84.3,3.0,203.0
2018-06-11 22.0時,74.7,3.0,195.0
2018-06-11 22.25時,79.7,3.0,480.7
2018-06-11 22.5時,68.7,3.0,258.0
2018-06-11 22.75時,94.7,3.0,480.7
2018-06-11 23.25時,80.7,3.0,39.7
2018-06-11 23.75時,76.5,3.0,16.0
2018-06-12 0.0時,74.3,3.0,37.0
2018-06-12 0.25時,74.3,3.0,53.0
2018-06-12 0.75時,71.7,2.3,0.0
2018-06-12 1.0時,60.7,1.0,0.0
2018-06-12 1.25時,60.0,1.0,0.0
2018-06-12 1.5時,70.7,2.0,0.0
2018-06-12 1.75時,61.3,2.0,0.0
2018-06-12 2.0時,64.0,2.0,0.0
2018-06-12 2.25時,72.3,2.0,0.0
2018-06-12 2.5時,98.7,2.0,0.0
2018-06-12 2.75時,68.3,2.0,0.0
2018-06-12 3.0時,57.3,1.3,0.0
2018-06-12 3.25時,53.3,1.0,0.0
2018-06-12 3.5時,53.0,1.0,0.0
2018-06-12 3.75時,67.5,2.0,0.0
2018-06-12 4.0時,78.7,2.0,0.0
2018-06-12 4.25時,67.0,2.0,0.0
2018-06-12 4.5時,71.0,2.0,0.0
2018-06-12 4.75時,53.0,2.3,0.0
2018-06-12 5.0時,72.5,2.7,0.0
2018-06-12 5.25時,71.0,2.7,0.0
2018-06-12 6.25時,91.0,3.0,258.5
2018-06-12 6.5時,88.5,3.0,96.0
2018-06-12 7.0時,79.0,3.0,160.0
2018-06-12 7.25時,99.0,3.0,244.0
2018-06-12 7.5時,97.7,3.0,427.0
2018-06-12 7.75時,82.7,3.0,223.7
2018-06-12 8.0時,81.7,3.0,89.0
2018-06-12 21.5時,79.0,3.0,399.5
2018-06-12 21.75時,74.0,3.0,424.0
2018-06-12 22.0時,80.3,3.0,125.7
2018-06-12 22.25時,94.5,3.0,199.3
2018-06-12 22.5時,91.0,3.0,42.0
2018-06-12 22.75時,77.0,3.0,36.0
2018-06-12 23.25時,75.3,3.0,62.0
2018-06-12 23.5時,81.3,3.0,22.0
2018-06-12 23.75時,100.5,3.0,41.0
2018-06-13 0.5時,63.0,2.3,0.0
2018-06-13 0.75時,62.0,1.0,0.0
2018-06-13 1.0時,61.3,1.7,0.0
2018-06-13 1.25時,61.0,2.0,0.0
2018-06-13 1.5時,61.0,2.0,0.0
2018-06-13 1.75時,67.7,2.7,0.0
2018-06-13 2.0時,60.7,1.0,0.0
2018-06-13 2.25時,65.7,1.0,0.0
2018-06-13 2.5時,60.7,1.0,0.0
2018-06-13 2.75時,60.3,1.7,0.0
2018-06-13 3.0時,58.3,2.0,0.0
2018-06-13 3.25時,60.7,2.0,0.0
2018-06-13 3.5時,61.3,1.0,0.0
2018-06-13 3.75時,61.0,1.0,0.0
2018-06-13 4.0時,61.0,1.0,0.0
2018-06-13 4.25時,60.3,2.0,0.0
2018-06-13 4.5時,68.0,2.0,0.0
2018-06-13 4.75時,60.3,2.0,0.0
2018-06-13 5.0時,63.7,2.0,0.0
2018-06-13 5.25時,63.7,2.0,0.0
2018-06-13 5.5時,70.7,2.3,0.0
2018-06-13 5.75時,93.7,3.0,309.0
2018-06-13 6.5時,115.0,3.0,269.0
2018-06-13 6.75時,86.7,3.0,187.7
2018-06-13 7.0時,108.0,3.0,190.0
2018-06-13 7.25時,97.7,3.0,396.0
2018-06-13 7.5時,79.7,3.0,260.3
2018-06-13 7.75時,92.7,3.0,377.0
2018-06-13 8.0時,89.3,3.0,147.5
2018-06-13 21.5時,78.7,3.0,222.7
2018-06-13 21.75時,90.5,3.0,211.0
2018-06-13 22.0時,70.0,3.0,67.5
2018-06-13 22.25時,87.3,3.0,94.5
2018-06-13 22.75時,75.7,3.0,89.0
2018-06-13 23.0時,87.3,3.0,25.0
2018-06-13 23.25時,81.3,3.0,68.3
2018-06-13 23.5時,77.3,3.0,24.0
2018-06-14 0.0時,80.7,3.0,44.5
2018-06-14 0.5時,80.3,3.0,95.5
2018-06-14 0.75時,80.7,3.0,186.0
2018-06-14 1.25時,68.7,1.0,0.0
2018-06-14 1.5時,68.0,1.0,0.0
2018-06-14 1.75時,68.3,1.0,0.0
2018-06-14 2.0時,66.3,2.0,0.0
2018-06-14 2.25時,70.0,2.0,0.0
2018-06-14 2.5時,70.7,1.0,0.0
2018-06-14 2.75時,70.7,1.7,0.0
2018-06-14 3.0時,73.3,1.0,0.0
2018-06-14 3.25時,66.7,1.7,0.0
2018-06-14 3.5時,85.7,2.0,0.0
2018-06-14 3.75時,72.7,1.0,0.0
2018-06-14 4.0時,67.0,1.0,0.0
2018-06-14 4.25時,70.7,1.0,0.0
2018-06-14 4.5時,71.0,1.0,0.0
2018-06-14 4.75時,69.7,2.0,0.0
2018-06-14 5.0時,71.3,2.3,0.0
2018-06-14 5.25時,76.3,2.0,0.0
2018-06-14 5.5時,85.3,2.0,0.0
2018-06-14 5.75時,68.7,2.3,0.0
2018-06-14 6.0時,73.3,3.0,66.0
2018-06-14 6.25時,83.7,2.3,34.0
2018-06-14 6.5時,86.5,2.7,134.0
2018-06-14 6.75時,71.0,3.0,72.0
2018-06-14 7.0時,81.3,3.0,127.5
2018-06-14 7.25時,77.7,3.0,293.7
2018-06-14 7.5時,108.7,3.0,316.0
2018-06-14 7.75時,71.7,3.0,230.0
2018-06-14 8.0時,78.0,3.0,165.0
2018-06-14 21.5時,85.0,3.0,38.0
2018-06-14 21.75時,80.0,3.0,49.0
2018-06-14 22.0時,78.7,3.0,125.0
2018-06-14 22.75時,73.7,3.0,22.0
2018-06-14 23.0時,77.7,3.0,53.0
2018-06-15 3.5時,60.7,3.0,75.0
2018-06-15 3.75時,58.7,2.3,0.0
2018-06-15 4.0時,58.0,2.0,0.0
2018-06-15 4.25時,59.7,2.0,0.0
2018-06-15 4.5時,53.7,2.0,0.0
2018-06-15 4.75時,69.3,2.0,0.0
2018-06-15 5.0時,58.3,2.3,0.0
2018-06-15 5.25時,56.7,2.0,0.0
2018-06-15 5.5時,56.7,1.7,0.0
2018-06-15 5.75時,57.3,1.0,0.0
2018-06-15 6.0時,76.0,2.0,0.0
2018-06-15 6.25時,73.3,2.3,0.0
2018-06-15 6.5時,77.0,3.0,134.5
2018-06-15 6.75時,90.0,3.0,158.0
2018-06-15 7.25時,103.7,3.0,433.0
2018-06-15 7.5時,76.7,3.0,325.5
2018-06-15 7.75時,92.0,3.0,459.3
2018-06-15 8.0時,86.2,3.0,190.2
2018-06-15 8.75時,87.7,3.0,35.5
2018-06-15 9.0時,78.7,3.0,23.0
2018-06-15 9.25時,77.3,3.0,18.3
2018-06-15 9.75時,88.0,3.0,135.5
2018-06-15 10.0時,79.0,3.0,59.0
2018-06-15 10.5時,71.3,3.0,41.0
2018-06-15 21.75時,68.7,3.0,16.0
2018-06-15 22.25時,66.3,3.0,108.5
2018-06-15 22.5時,70.0,3.0,15.0
2018-06-15 22.75時,71.0,3.0,54.0
2018-06-15 23.0時,82.3,3.0,47.5
2018-06-15 23.5時,74.3,3.0,22.0
2018-06-15 23.75時,58.0,3.0,17.0
2018-06-16 0.25時,79.0,3.0,106.0
